"Latest: Time (s)","Latest: Illumination (lux)"
0,224.387512207
0.004,227.195587158
0.008,205.036468506
0.012,227.571563721
0.016,216.304016113
0.02,220.815734863
0.024,205.224456787
0.028,238.098907471
0.032,234.339141846
0.036,198.832855225
0.04,211.22833252
0.044,247.862548828
0.048,202.59262085
0.052,209.548187256
0.056,229.827423096
0.06,229.451446533
0.064,201.840667725
0.068,220.627746582
0.072,224.199523926
0.076,233.775177002
0.08,221.379699707
0.084,197.516937256
0.088,237.910919189
0.092,223.447570801
0.096,222.695617676
0.1,217.431945801
0.104,230.391387939
0.108,215.552062988
0.112,212.920227051
0.116,229.827423096
0.12,224.575500488
0.124,231.519317627
0.128,208.984222412
0.132,224.199523926
0.136,243.162841797
0.14,200.900726318
0.144,229.263458252
0.148,220.063781738
0.152,208.232269287
0.156,226.455383301
0.16,201.0887146
0.164,221.567687988
0.168,238.850860596
0.172,207.1043396
0.176,226.455383301
0.18,220.627746582
0.184,228.699493408
0.188,222.507629395
0.192,212.168273926
0.196,207.668304443
0.2,226.819610596
0.204,229.451446533
0.208,205.788421631
0.212,202.404632568
0.216,250.870361328
0.22,220.063781738
0.224,213.108215332
0.228,219.499816895
0.232,235.091094971
0.236,215.928039551
0.24,218.183898926
0.244,208.984222412
0.248,232.083282471
0.252,226.079406738
0.256,202.780609131
0.26,226.26739502
0.264,244.478759766
0.268,200.712738037
0.272,223.447570801
0.276,231.143341064
0.28,209.924163818
0.284,223.25958252
0.288,245.418701172
0.292,208.232269287
0.296,206.916351318
0.3,222.883605957
0.304,231.895294189
0.308,209.172210693
0.312,209.548187256
0.316,244.102783203
0.32,207.668304443
0.324,227.571563721
0.328,212.356262207
0.332,234.903106689
0.336,214.23614502
0.34,228.135528564
0.344,203.344573975
0.348,228.135528564
0.352,221.567687988
0.356,210.300140381
0.36,221.75567627
0.364,217.24395752
0.368,235.655059814
0.372,214.048156738
0.376,199.58480835
0.38,233.399200439
0.384,204.660491943
0.388,229.263458252
0.392,196.201019287
0.396,221.379699707
0.4,208.232269287
0.404,227.195587158
0.408,233.023223877
0.412,205.60043335
0.416,226.631622314
0.42,231.331329346
0.424,197.328948975
0.428,230.955352783
0.432,210.488128662
0.436,218.935852051
0.44,230.391387939
0.444,190.197143555
0.448,227.759552002
0.452,238.098907471
0.456,194.885101318
0.46,214.048156738
0.464,236.970977783
0.468,196.764984131
0.472,229.451446533
0.476,216.304016113
0.48,212.73223877
0.484,225.327453613
0.488,220.815734863
0.492,209.172210693
0.496,213.672180176
0.5,229.827423096
0.504,222.131652832
0.508,211.792297363
0.512,209.172210693
0.516,220.439758301
0.52,217.995910645
0.524,225.139465332
0.528,196.201019287
0.532,192.265014648
0.536,237.158966064
0.54,216.304016113
0.544,223.25958252
0.548,217.619934082
0.552,211.040344238
0.556,236.219024658
0.56,217.619934082
0.564,193.580932617
0.568,218.183898926
0.572,229.827423096
0.576,216.304016113
0.58,227.195587158
0.584,226.631622314
0.588,224.575500488
0.592,202.59262085
0.596,217.431945801
0.6,200.712738037
0.604,238.098907471
0.608,235.655059814
0.612,214.800109863
0.616,213.484191895
0.62,223.447570801
0.624,210.1121521
0.628,226.455383301
0.632,216.867980957
0.636,228.135528564
0.64,222.883605957
0.644,216.116027832
0.648,225.515441895
0.652,220.815734863
0.656,221.191711426
0.66,219.123840332
0.664,219.499816895
0.668,216.116027832
0.672,210.1121521
0.676,239.038848877
0.68,225.139465332
0.684,202.968597412
0.688,217.807922363
0.692,215.928039551
0.696,232.647247314
0.7,214.612121582
0.704,217.807922363
