"Latest: Time (s)","Latest: Illumination (lux)"
0,202.780609131
0.004,211.416320801
0.008,215.74005127
0.012,205.60043335
0.016,216.867980957
0.02,221.379699707
0.024,209.360198975
0.028,210.852355957
0.032,212.544250488
0.036,214.612121582
0.04,214.23614502
0.044,222.319641113
0.048,216.679992676
0.052,210.1121521
0.056,214.048156738
0.06,224.199523926
0.064,218.183898926
0.068,214.800109863
0.072,210.1121521
0.076,219.123840332
0.08,222.507629395
0.084,212.356262207
0.088,202.780609131
0.092,214.424133301
0.096,211.792297363
0.1,213.860168457
0.104,205.60043335
0.108,196.389007568
0.112,216.304016113
0.116,223.823547363
0.12,206.352386475
0.124,189.821166992
0.128,214.23614502
0.132,223.823547363
0.136,213.484191895
0.14,202.028656006
0.144,211.980285645
0.148,223.635559082
0.152,220.063781738
0.156,203.156585693
0.16,198.832855225
0.164,229.827423096
0.168,225.703430176
0.172,198.644866943
0.176,202.216644287
0.18,216.492004395
0.184,230.203399658
0.188,208.60824585
0.192,193.580932617
0.196,216.867980957
0.2,236.595001221
0.204,218.74786377
0.208,189.44519043
0.212,203.720550537
0.216,219.875793457
0.22,217.055969238
0.224,194.697113037
0.228,194.144897461
0.232,210.664367676
0.236,225.703430176
0.24,204.472503662
0.244,181.361694336
0.248,207.1043396
0.252,233.399200439
0.256,214.800109863
0.26,189.069213867
0.264,195.637054443
0.268,229.827423096
0.272,214.048156738
0.276,199.208831787
0.28,200.148773193
0.284,213.108215332
0.288,214.23614502
0.292,199.960784912
0.296,193.204956055
0.3,209.736175537
0.304,225.327453613
0.308,212.544250488
0.312,188.129272461
0.316,203.344573975
0.32,214.800109863
0.324,224.387512207
0.328,202.216644287
0.332,201.840667725
0.336,212.544250488
0.34,225.327453613
0.344,208.984222412
0.348,198.832855225
0.352,219.875793457
0.356,225.891418457
0.36,205.036468506
0.364,200.336761475
0.368,219.687805176
0.372,221.75567627
0.376,214.800109863
0.38,207.1043396
0.384,210.664367676
0.388,216.679992676
0.392,219.875793457
0.396,210.300140381
0.4,212.356262207
0.404,214.800109863
0.408,215.552062988
0.412,213.672180176
0.416,222.883605957
0.42,215.176086426
0.424,209.548187256
0.428,208.420257568
0.432,215.176086426
0.436,218.74786377
0.44,209.360198975
0.444,217.807922363
0.448,211.22833252
0.452,221.943664551
0.456,206.164398193
0.46,202.59262085
0.464,216.304016113
0.468,223.447570801
0.472,205.036468506
0.476,203.532562256
0.48,206.728363037
0.484,220.063781738
0.488,219.875793457
0.492,203.908538818
0.496,198.0809021
0.5,218.935852051
0.504,227.195587158
0.508,203.908538818
0.512,196.952972412
0.516,219.123840332
0.52,229.451446533
0.524,204.0965271
0.528,204.0965271
0.532,205.788421631
0.536,224.575500488
0.54,219.499816895
0.544,207.668304443
0.548,198.644866943
0.552,225.891418457
0.556,227.947540283
0.56,197.516937256
0.564,198.832855225
0.568,221.191711426
0.572,230.579376221
0.576,208.796234131
0.58,178.729858398
0.584,209.172210693
0.588,233.587188721
0.592,200.712738037
0.596,182.865600586
0.6,202.59262085
0.604,231.331329346
0.608,210.852355957
0.612,185.873413086
0.616,190.573120117
0.62,224.387512207
0.624,222.319641113
0.628,190.573120117
0.632,184.369506836
0.636,209.360198975
0.64,225.891418457
0.644,202.968597412
0.648,180.045776367
0.652,195.0730896
0.656,216.867980957
0.66,210.488128662
0.664,183.805541992
0.668,187.565307617
0.672,221.191711426
0.676,207.480316162
0.68,191.513061523
0.684,180.233764648
0.688,204.660491943
0.692,220.815734863
0.696,201.0887146
0.7,175.357818604
0.704,194.332885742
0.708,215.552062988
0.712,206.352386475
0.716,184.745483398
0.72,187.189331055
0.724,218.74786377
0.728,211.040344238
0.732,180.045776367
0.736,186.249389648
0.74,223.071594238
0.744,208.044281006
0.748,196.764984131
0.752,193.768920898
0.756,198.0809021
0.76,224.199523926
0.764,202.216644287
0.768,189.257202148
0.772,197.704925537
0.776,214.800109863
0.78,212.168273926
0.784,197.140960693
0.788,190.197143555
0.792,204.660491943
0.796,211.040344238
0.8,198.832855225
0.804,200.336761475
0.808,198.832855225
0.812,208.232269287
0.816,201.0887146
0.82,195.449066162
0.824,204.848480225
0.828,202.780609131
0.832,190.197143555
0.836,203.720550537
0.84,210.852355957
0.844,178.729858398
0.848,261.761932373
0.852,235.655059814
0.856,273.229217529
0.86,264.581756592
0.864,142.671356201
0.868,268.717498779
0.872,266.085662842
0.876,213.108215332
0.88,236.407012939
0.884,108.856964111
0.888,112.992706299
0.892,268.153533936
0.896,103.969268799
0.9,120.688476562
0.904,214.23614502
0.908,224.76348877
0.912,152.998962402
0.916,196.764984131
0.92,218.935852051
0.924,174.981842041
0.928,199.960784912
0.932,159.202575684
0.936,140.227508545
0.94,184.557495117
0.944,181.92565918
0.948,156.946716309
0.952,112.428741455
0.956,174.417877197
0.96,163.138580322
0.964,104.533233643
0.968,148.11126709
0.972,126.328125
0.976,145.867156982
0.98,157.698669434
0.984,101.337432861
0.988,138.159637451
0.992,147.923278809
0.996,132.707977295
1,109.232940674
1.004,105.849151611
1.008,152.247009277
1.012,109.044952393
1.016,101.525421143
1.02,95.5215454102
1.024,98.8935852051
1.028,141.919403076
1.032,100.209503174
1.036,90.8218383789
1.04,89.5059204102
1.044,179.105834961
1.048,106.037139893
1.052,87.4380493164
1.056,133.647918701
1.06,85.9341430664
1.064,94.7695922852
1.068,89.8818969727
1.072,90.8218383789
1.076,91.5737915039
1.08,86.3101196289
1.084,86.1221313477
1.088,86.1221313477
1.092,86.3101196289
1.096,96.4614868164
1.1,85.5581665039
1.104,92.8897094727
1.108,86.6860961914
1.112,86.3101196289
1.116,85.9341430664
1.12,95.3335571289
1.124,87.4380493164
1.128,91.7617797852
1.132,90.8218383789
1.136,87.0620727539
1.14,99.4575500488
1.144,93.6416625977
1.148,104.909210205
1.152,86.1221313477
1.156,91.5737915039
1.16,120.500488281
1.164,100.585479736
1.168,97.4014282227
1.172,88.3779907227
1.176,96.2734985352
1.18,156.570739746
1.184,86.8740844727
1.188,85.9341430664
1.192,120.124511719
1.196,149.991149902
1.2,87.8140258789
1.204,86.1221313477
1.208,112.052764893
1.212,124.448242188
1.216,105.66116333
1.22,113.556671143
1.224,89.6939086914
1.228,129.523925781
1.232,121.440429688
1.236,117.116699219
1.24,108.856964111
1.244,129.711914062
1.248,140.039520264
1.252,106.225128174
1.256,162.574615479
1.26,123.508300781
1.264,126.140136719
1.268,181.549682617
1.272,104.345245361
1.276,115.80078125
1.28,159.766540527
1.284,128.959960938
1.288,150.179138184
1.292,113.556671143
1.296,122.004394531
1.3,156.006774902
1.304,159.014587402
1.308,120.688476562
1.312,109.044952393
1.316,174.229888916
1.32,164.454498291
1.324,131.95602417
1.328,125.200195312
1.332,122.568359375
