"Latest: Time (s)","Latest: Illumination (lux)"
0,304.2237854
0.004,302.71987915
0.008,303.095855713
0.012,305.915679932
0.016,301.967926025
0.02,304.411773682
0.024,306.667633057
0.028,302.531890869
0.032,304.787750244
0.036,304.2237854
0.04,304.2237854
0.044,306.667633057
0.048,304.035797119
0.052,303.471832275
0.056,304.2237854
0.06,301.403961182
0.064,300.652008057
0.068,303.471832275
0.072,301.779937744
0.076,305.72769165
0.08,306.291656494
0.084,300.652008057
0.088,305.915679932
0.092,299.900054932
0.096,304.2237854
0.1,303.847808838
0.104,302.907867432
0.108,303.095855713
0.112,301.779937744
0.116,302.71987915
0.12,304.975738525
0.124,302.343902588
0.128,304.2237854
0.132,306.291656494
0.136,304.975738525
0.14,304.035797119
0.144,301.403961182
0.148,302.907867432
0.152,302.343902588
0.156,303.283843994
0.16,299.71206665
0.164,301.779937744
0.168,303.283843994
0.172,304.411773682
0.176,303.659820557
0.18,302.343902588
0.184,298.020172119
0.188,303.471832275
0.192,302.155914307
0.196,302.907867432
0.2,298.772125244
0.204,296.516265869
0.208,301.2159729
0.212,303.471832275
0.216,297.268218994
0.22,303.095855713
0.224,295.576324463
0.228,304.411773682
0.232,297.832183838
0.236,297.268218994
0.24,293.320465088
0.244,297.080230713
0.248,297.080230713
0.252,296.70425415
0.256,297.456207275
0.26,297.456207275
0.264,296.70425415
0.268,298.020172119
0.272,289.760437012
0.276,298.772125244
0.28,293.69644165
0.284,298.960113525
0.288,294.072418213
0.292,295.012359619
0.296,288.632507324
0.3,289.948425293
0.304,288.820495605
0.308,289.008483887
0.312,290.136413574
0.316,292.568511963
0.32,288.256530762
0.324,287.316589355
0.328,287.316589355
0.332,280.173034668
0.336,287.504577637
0.34,282.240905762
0.344,281.112976074
0.348,289.760437012
0.352,275.661315918
0.356,276.03729248
0.36,280.173034668
0.364,274.721374512
0.368,288.256530762
0.372,280.54901123
0.376,286.940612793
0.38,276.789245605
0.384,279.985046387
0.388,270.973358154
0.392,271.725311279
0.396,272.665252686
0.4,278.857116699
0.404,270.973358154
0.408,273.041229248
0.412,275.849304199
0.416,267.777557373
